price,address,postal_code,bed,full_bath,half_bath,property_area,property_type
525000,59 WENTWORTH GDNS SW,T3H 4L7,2.0,2.0,1.0,1189.0,house
329900,1210 LAKE FRASER Court SE,T2J 7G4,2.0,2.0,,1067.0,condo
459900,848 LYSANDER DR SE,T2C 1S3,4.0,2.0,1.0,1078.0,house
799000,4120 15 ST SW,T2T 4A9,4.0,2.0,,1197.0,house
699900,161 VALLEY WOODS PL NW,T3B 6A1,4.0,3.0,1.0,2178.0,house
619000,619 84 AVE SW,T2V 0V8,4.0,3.0,,1104.0,house
449000,166 HARVEST OAK RISE NE,T3K 4T9,3.0,2.0,1.0,1471.0,house
179000,107 - 219 HUNTINGTON PARK BAY NW,T2K 5H5,3.0,1.0,,1010.0,townhouse
309900,64 - 27 SILVER SPRINGS DR NW,T3B 4N3,3.0,2.0,1.0,1383.0,townhouse
419800,244 PANORAMA HILLS PL NW,T3K 4N4,3.0,2.0,1.0,1642.0,house
1100000,3406 - 210 15 AVE SE,T2G 0B5,3.0,2.0,1.0,1915.0,condo
365000,275 TARALAKE TERR NE,T3J 0A1,4.0,2.0,1.0,1263.0,house
439900,111 HAWKHILL CRT NW,T3G 2T7,4.0,2.0,1.0,1621.0,house
599900,1040 MEMORIAL DR NW,T2N 3E1,3.0,2.0,2.0,1305.0,house
410000,408 RANCHRIDGE BAY NW,T3G 1V6,3.0,2.0,1.0,1137.0,house
480000,21 KENTISH DR SW,T2V 2L4,4.0,2.0,,1091.0,house
240000,1312 - 4641 128 AVE NE,T3N 1T2,3.0,2.0,,839.0,condo
829900,11008 WILLOWFERN DR SE,T2J 1R7,6.0,3.0,1.0,2497.0,house
449900,8 STRATHCLAIR RISE SW,T3H 1G4,3.0,2.0,1.0,1229.0,house
412000,2504 Wentworth Villas SW,T3H 0K9,3.0,2.0,1.0,1460.0,townhouse
800000,3322 2 ST NW,T2K 0X9,5.0,3.0,2.0,2497.0,house
435000,1601 - 1500 7 ST SW,T2R 1A7,1.0,1.0,,708.0,condo
224900,314 PINESTREAM Place NE,T1Y 3A5,3.0,2.0,1.0,1194.0,townhouse
516999,327 RIVERVIEW CLOSE SE,T2C 4C4,5.0,3.0,,1608.0,house
429900,60 SOMERSET DR SW,T2Y 3C3,4.0,2.0,1.0,1472.0,house
669000,502 - 200 LA CAILLE PL SW,T2P 5E2,2.0,2.0,,1596.0,condo
379900,501 - 3339 RIDEAU PL SW,T2S 1Z5,,,,1354.0,condo
369900,"1602, 888 4 Avenue SW",T2P 0V2,1.0,1.0,,674.0,condo
284900,6 Everridge  Gardens SW,T2Y 0H1,2.0,2.0,1.0,1173.0,townhouse
799900,6927 EDGEMONT DR NW,T3A 2H9,4.0,4.0,,2014.0,house
289900,305 - 930 18 AVE SW,T2T 0H1,2.0,1.0,,1119.0,condo
1688000,2231 3 AVE NW,T2N 0K7,5.0,4.0,1.0,3598.0,house
569900,2827 BRECKEN RD NW,T2L 1H5,3.0,2.0,,1044.0,house
619900,2946 PEACEKEEPERS Way SW,T3E 7R6,2.0,2.0,,1852.0,townhouse
385000,58 CHAPARRAL RIDGE WAY SE,T2X 3K4,3.0,2.0,1.0,1311.0,house
359900,1000 ABBEYDALE DR NE,T2A 6H3,4.0,2.0,,1030.0,house
679000,55 ST MORITZ TERR SW,T3H 5Y1,4.0,3.0,1.0,1819.0,house
